"","Alexa Fluor 488-A","PE-A","PE-Texas Red-A","7-AAD-A","PE-Cy7-A","Alexa Fluor 405-A","Alexa Fluor 430-A","Qdot 605-A","Alexa Fluor 647-A","Alexa Fluor 700-A","APC-Cy7-A"
"Alexa Fluor 488-A",1,0.181553862619134,0.0897823138157212,0.0250946763565826,0.00504953950885959,-0.00387641367063223,0.0154338654922663,0.0106242428458539,0.00168317960591429,0.000374039486105549,0.000436380383489395
"PE-A",0.0106008384327195,1,0.532730008104161,0.179873517565539,0.0309696006118632,-0.00113673845743813,0.000710462088046403,0.156585777827847,0.000215943098018283,0.000123396244795581,0.0000925471147506542
"PE-Texas Red-A",0,0,1,0,0,0,0,0,0,0,0
"7-AAD-A",0.0357138555145601,0.0000000312327323951305,0.0357147043886008,1,-0.678571709764231,1.34038765045968,0.402116451473629,0.670193840661046,0.0582009599348745,-0.0873013942514558,-0.0873016768665143
"PE-Cy7-A",0,0,0,0,1,0,0,0,0,0,0
"Alexa Fluor 405-A",0,0,0,0,0,1,0,0,0,0,0
"Alexa Fluor 430-A",0,0,0,0,0,0,1,0,0,0,0
"Qdot 605-A",0,0,0,0,0,0,0,1,0,0,0
"Alexa Fluor 647-A",0.000000000263424494032121,-0.000000000364314471237236,0.00083318029157446,0.0366598785819497,0.0112479213062523,-0.0171984602334785,-0.00664485936068965,-0.0097718546208514,1,0.372029910250616,0.10386966283707
"Alexa Fluor 700-A",-0.000889967801044551,0.00148329351945145,-0.000593319213358934,0.046871896431936,0.0410870818726588,-0.0116905078157655,-0.00654111648626235,-0.0116905041449198,0.00265893277213336,1,0.263475902826123
"APC-Cy7-A",0.409091354004468,0.409088913477949,0.613636858008927,0.715910517308537,0.00000000477478282773941,4.79797999169809,2.01515154533746,3.83838428602142,0.166666407325502,-0.333333967391328,1
